match_id,balls_per_over,city,date,event,gender,match_type,season,toss_decision,toss_winner,venue,winner,team1,team2
1082591,6,Hyderabad,2017/04/05,Indian Premier League,male,T20,2017,field,Royal Challengers Bangalore,"""Rajiv Gandhi International Stadium, Uppal""",Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru
1082592,6,Pune,2017/04/06,Indian Premier League,male,T20,2017,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Rising Pune Supergiants,Mumbai Indians
1082593,6,Rajkot,2017/04/07,Indian Premier League,male,T20,2017,field,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders
1082594,6,Indore,2017/04/08,Indian Premier League,male,T20,2017,field,Kings XI Punjab,Holkar Cricket Stadium,Punjab Kings,Punjab Kings,Rising Pune Supergiants
1082595,6,Bengaluru,2017/04/08,Indian Premier League,male,T20,2017,bat,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi Capitals
1082596,6,Hyderabad,2017/04/09,Indian Premier League,male,T20,2017,field,Sunrisers Hyderabad,"""Rajiv Gandhi International Stadium, Uppal""",Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions
1082597,6,Mumbai,2017/04/09,Indian Premier League,male,T20,2017,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders
1082598,6,Indore,2017/04/10,Indian Premier League,male,T20,2017,bat,Royal Challengers Bangalore,Holkar Cricket Stadium,Punjab Kings,Punjab Kings,Royal Challengers Bengaluru
1082599,6,Pune,2017/04/11,Indian Premier League,male,T20,2017,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Capitals,Rising Pune Supergiants,Delhi Capitals
1082600,6,Mumbai,2017/04/12,Indian Premier League,male,T20,2017,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad
1082601,6,Kolkata,2017/04/13,Indian Premier League,male,T20,2017,field,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings
1082602,6,Bangalore,2017/04/14,Indian Premier League,male,T20,2017,field,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians
1082603,6,Rajkot,2017/04/14,Indian Premier League,male,T20,2017,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Gujarat Lions,Rising Pune Supergiants
1082604,6,Kolkata,2017/04/15,Indian Premier League,male,T20,2017,field,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad
1082605,6,Delhi,2017/04/15,Indian Premier League,male,T20,2017,bat,Delhi Daredevils,Feroz Shah Kotla,Delhi Capitals,Delhi Capitals,Punjab Kings
1082606,6,Mumbai,2017/04/16,Indian Premier League,male,T20,2017,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Gujarat Lions
1082607,6,Bangalore,2017/04/16,Indian Premier League,male,T20,2017,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rising Pune Supergiants,Royal Challengers Bengaluru,Rising Pune Supergiants
1082608,6,Delhi,2017/04/17,Indian Premier League,male,T20,2017,bat,Delhi Daredevils,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
1082609,6,Hyderabad,2017/04/17,Indian Premier League,male,T20,2017,field,Kings XI Punjab,"""Rajiv Gandhi International Stadium, Uppal""",Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings
1082610,6,Rajkot,2017/04/18,Indian Premier League,male,T20,2017,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Royal Challengers Bengaluru,Gujarat Lions,Royal Challengers Bengaluru
1082611,6,Hyderabad,2017/04/19,Indian Premier League,male,T20,2017,bat,Sunrisers Hyderabad,"""Rajiv Gandhi International Stadium, Uppal""",Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals
1082612,6,Indore,2017/04/20,Indian Premier League,male,T20,2017,field,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians
1082613,6,Kolkata,2017/04/21,Indian Premier League,male,T20,2017,field,Gujarat Lions,Eden Gardens,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions
1082614,6,Mumbai,2017/04/22,Indian Premier League,male,T20,2017,field,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Delhi Capitals
1082615,6,Pune,2017/04/22,Indian Premier League,male,T20,2017,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Rising Pune Supergiants,Sunrisers Hyderabad
1082616,6,Rajkot,2017/04/23,Indian Premier League,male,T20,2017,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Punjab Kings,Gujarat Lions,Punjab Kings
1082617,6,Kolkata,2017/04/23,Indian Premier League,male,T20,2017,field,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bengaluru
1082618,6,Mumbai,2017/04/24,Indian Premier League,male,T20,2017,field,Mumbai Indians,Wankhede Stadium,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants
1082620,6,Pune,2017/04/26,Indian Premier League,male,T20,2017,field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders
1082621,6,Bangalore,2017/04/27,Indian Premier League,male,T20,2017,field,Gujarat Lions,M Chinnaswamy Stadium,Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions
1082622,6,Kolkata,2017/04/28,Indian Premier League,male,T20,2017,field,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals
1082623,6,Chandigarh,2017/04/28,Indian Premier League,male,T20,2017,field,Kings XI Punjab,"""Punjab Cricket Association IS Bindra Stadium, Mohali""",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
1082624,6,Pune,2017/04/29,Indian Premier League,male,T20,2017,field,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Rising Pune Supergiants,Royal Challengers Bengaluru
1082625,6,Rajkot,2017/04/29,Indian Premier League,male,T20,2017,bat,Gujarat Lions,Saurashtra Cricket Association Stadium,,Gujarat Lions,Mumbai Indians
1082626,6,Chandigarh,2017/04/30,Indian Premier League,male,T20,2017,field,Kings XI Punjab,"""Punjab Cricket Association IS Bindra Stadium, Mohali""",Punjab Kings,Punjab Kings,Delhi Capitals
